month,wind,area
aug,6.3,0.76
aug,5.4,0.09
aug,2.2,0.75
aug,0.4,2.47
aug,3.1,0.68
aug,3.1,0.24
aug,3.6,0.21
aug,2.7,1.52
aug,3.1,10.34
aug,2.2,8.02
aug,2.7,0.68
aug,1.8,1.38
aug,4,8.85
aug,7.6,3.3
aug,3.1,4.25
aug,3.6,1.56
aug,3.1,6.54
aug,7.6,0.79
aug,4,0.17
aug,2.7,4.4
aug,3.1,0.52
aug,4.5,9.27
aug,4,3.09
dec,8.5,8.98
dec,8,11.19
dec,4.9,5.38
dec,8.5,17.85
dec,8.5,10.73
dec,8.5,22.03
dec,8.5,9.77
dec,4.9,9.27
dec,8.5,24.77
feb,3.1,1.1
feb,8,24.24
jul,0.9,8
jul,1.3,2.64
jul,5.4,86.45
jul,3.6,6.57
jun,1.8,0.9
jun,5.4,3.52
sep,5.4,0.41
sep,3.6,5.18
sep,1.8,14.29
sep,1.8,1.58
sep,4.9,3.78
sep,6.3,4.41
sep,7.2,34.36
sep,4,7.21
sep,4,1.01
sep,2.7,2.18
sep,1.8,4.42
sep,4,3.33
sep,3.1,6.58
sep,4.5,15.64
sep,2.2,11.22
sep,3.1,2.13
sep,2.2,56.04
sep,2.2,7.48
sep,1.8,1.47
sep,2.2,3.93
sep,4.5,2.18
sep,4.9,6.1
sep,3.1,5.83
sep,2.2,28.19
sep,3.6,1.64
sep,3.6,3.71
sep,6.3,7.31
sep,3.6,2.03
sep,2.7,1.72
sep,2.2,5.97
sep,4.9,13.06
sep,4.9,1.26
sep,2.2,8.12
sep,2.2,1.09
sep,4,3.94
sep,3.1,0.52
sep,2.2,2.93
sep,2.7,5.65
sep,3.1,20.03
sep,5.4,1.75
sep,4.9,12.64
sep,7.6,11.06
sep,4,18.3
sep,4.9,39.35
aug,2.2,174.63
jul,7.2,7.73
aug,2.7,16.33
aug,1.8,5.86
aug,2.7,42.87
aug,4.5,12.18
aug,2.2,16
sep,5.4,24.59
aug,3.1,28.74
feb,6.3,9.96
sep,2.7,30.18
sep,4,70.76
feb,1.8,51.78
sep,4.9,3.64
aug,3.6,3.63
jun,4.5,8.16
sep,4,4.95
sep,2.2,6.04
sep,4.9,3.95
sep,3.1,7.8
feb,9.4,4.62
jul,4.5,1.63
aug,4.9,746.28
jul,3.1,7.02
aug,5.4,2.44
aug,4,3.05
aug,4.5,185.76
jul,3.6,6.3
sep,4,0.72
aug,3.6,4.96
aug,2.2,2.35
aug,4,3.2
aug,4,6.36
aug,4.9,15.34
aug,1.3,0.54
aug,4,6.43
sep,2.2,0.33
aug,1.8,1.23
apr,3.1,3.35
sep,3.6,9.96
aug,5.4,6.43
aug,4.9,9.71
aug,4,82.75
aug,4.9,3.32
aug,8,1.94
sep,7.6,3.71
feb,6.3,5.39
feb,5.4,2.14
feb,0.9,6.84
mar,5.8,3.18
mar,5.4,5.55
mar,3.6,6.61
apr,9.4,61.13
may,4,38.48
jun,4,1.94
jun,3.1,70.32
jun,2.7,10.08
jun,9.4,3.19
jul,1.3,1.76
jul,4,7.36
jul,4.5,2.21
jul,4.9,278.53
jul,4.5,2.75
aug,5.8,1.29
aug,4,26.43
aug,3.6,2.07
aug,6.3,2
aug,3.6,16.4
aug,7.6,46.7
aug,4.5,43.32
aug,4.9,8.59
aug,3.1,2.77
aug,2.2,14.68
aug,2.7,40.54
aug,4.9,10.82
aug,4.9,1.95
aug,4.9,49.59
aug,1.8,5.8
aug,7.6,2.17
aug,5.4,0.43
aug,2.7,6.44
aug,5.8,54.29
aug,6.7,11.16
